Date,SN,Open,High,Low,Close,Adj Close,Volume,live,KI,KO,accumulation,BQty,BAt,BWhen,SQty,SAt,SWhen,BCF,SCF,CumQty,CumCF
2022-11-22,122,134.0,135.270004,133.690002,135.039993,133.005981,9185700,True,True,False,True,2,135.270004,False,2,133.690002,True,False,267.380004,54,2088.0800789999994
2022-11-23,123,134.940002,136.5,134.860001,136.479996,134.424301,7316200,True,True,False,True,2,136.5,False,2,134.860001,True,False,269.720002,54,2357.8000809999994
2022-11-25,124,136.479996,137.139999,136.059998,136.740005,134.680389,3220500,True,True,False,True,3,137.139999,True,3,136.059998,False,-411.41999699999997,False,57,1946.3800839999994
2022-11-28,125,136.070007,136.710007,134.190002,134.350006,132.326401,9906900,True,True,False,True,3,136.710007,False,3,134.190002,True,False,402.570006,57,2348.9500899999994
2022-11-29,126,134.660004,136.639999,134.410004,136.559998,134.503098,7925300,True,True,False,True,5,136.639999,False,5,134.410004,True,False,672.0500199999999,57,3021.000109999999
2022-11-30,127,136.089996,138.179993,133.190002,138.179993,136.098679,14761200,True,True,False,True,4,138.179993,True,4,133.190002,False,-552.719972,False,61,2468.280137999999
2022-12-01,128,138.179993,138.660004,135.429993,136.240005,134.187912,8858500,True,True,False,True,3,138.660004,False,3,135.429993,True,False,406.289979,61,2874.5701169999993
2022-12-02,129,134.490005,135.350006,133.339996,135.160004,133.124176,8931900,True,True,False,True,4,135.350006,True,4,133.339996,False,-541.400024,False,65,2333.1700929999993
2022-12-05,130,134.240005,134.570007,130.600006,131.369995,129.391266,10154500,True,True,False,True,6,134.570007,True,6,130.600006,False,-807.420042,False,71,1525.7500509999993
2022-12-06,131,133.389999,135.110001,129.869995,131.589996,129.607956,13966700,True,True,False,True,3,135.110001,False,3,129.869995,True,False,389.60998499999994,71,1915.3600359999991
2022-12-07,132,131.309998,133.080002,130.330002,131.5,129.519302,11739400,True,True,False,True,2,133.080002,False,2,130.330002,True,False,260.660004,71,2176.020039999999
2022-12-08,133,132.330002,132.979996,131.429993,132.880005,130.878525,8907300,True,True,False,True,2,132.979996,True,2,131.429993,False,-265.959992,False,73,1910.060047999999
2022-12-09,134,132.199997,133.759995,132.0,132.160004,130.169373,7957800,True,True,False,True,4,133.759995,False,4,132.0,True,False,528.0,73,2438.060047999999
2022-12-12,135,132.399994,134.649994,131.600006,134.210007,132.188507,8841600,True,True,False,True,5,134.649994,True,5,131.600006,False,-673.24997,False,78,1764.810077999999
2022-12-13,136,136.889999,137.089996,133.080002,134.080002,132.06044,10025400,True,True,False,True,3,137.089996,True,3,133.080002,False,-411.269988,False,81,1353.540089999999
2022-12-14,137,133.779999,135.710007,132.759995,133.410004,131.400543,9966100,True,True,False,True,4,135.710007,True,4,132.759995,False,-542.840028,False,85,810.7000619999991
2022-12-15,138,131.149994,132.080002,129.050003,130.100006,128.140411,12087800,True,True,False,True,2,132.080002,False,2,129.050003,True,False,258.100006,85,1068.800067999999
2022-12-16,139,129.149994,129.899994,128.429993,129.289993,127.34259,21133700,True,True,False,True,3,129.899994,False,3,128.429993,True,False,385.289979,85,1454.0900469999992
2022-12-19,140,129.649994,131.330002,129.089996,130.059998,128.100998,9017200,True,True,False,True,2,131.330002,True,2,129.089996,False,-262.660004,False,87,1191.4300429999992
2022-12-20,141,130.970001,132.050003,130.199997,130.690002,128.721512,8549900,True,True,False,True,2,132.050003,True,2,130.199997,False,-264.100006,False,89,927.3300369999992
2022-12-21,142,132.179993,132.979996,131.770004,132.160004,130.169373,8051700,True,True,False,True,3,132.979996,True,3,131.770004,False,-398.93998799999997,False,92,528.3900489999992
2022-12-22,143,131.100006,131.300003,128.410004,130.660004,128.691971,8648200,True,True,False,True,2,131.300003,False,2,128.410004,True,False,256.820008,92,785.2100569999991
2022-12-23,144,130.580002,131.440002,129.639999,131.279999,129.302628,5091900,True,True,False,True,2,131.440002,False,2,129.639999,True,False,259.279998,92,1044.490054999999
2022-12-27,145,131.570007,132.220001,130.550003,131.740005,129.755707,5411000,True,True,False,True,3,132.220001,False,3,130.550003,True,False,391.650009,92,1436.140063999999
2022-12-28,146,131.850006,133.410004,131.009995,132.460007,130.464859,8827700,True,True,False,True,1,133.410004,False,1,131.009995,True,False,131.009995,92,1567.1500589999991
2022-12-29,147,132.929993,133.270004,132.309998,133.220001,131.213409,6585200,True,True,False,True,2,133.270004,False,2,132.309998,True,False,264.619996,92,1831.770054999999
2022-12-30,148,132.809998,134.330002,132.440002,134.100006,132.080154,9292500,True,True,False,True,3,134.330002,True,3,132.440002,False,-402.990006,False,95,1428.780048999999
2023-01-03,149,135.240005,136.740005,133.889999,135.119995,133.084793,11054800,True,True,False,True,3,136.740005,False,3,133.889999,True,False,401.66999699999997,95,1830.450045999999
2023-01-04,150,135.990005,137.679993,135.570007,136.380005,134.325806,11687600,True,True,False,True,3,137.679993,True,3,135.570007,False,-413.039979,False,98,1417.410066999999
